Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,111.379997,112.870003,110.900002,112.690002,112.690002,2284900
2017-08-08,112.190002,115.000000,111.309998,112.269997,112.269997,4328600
2017-08-09,109.519997,111.970001,108.739998,111.830002,111.830002,4128400
2017-08-10,109.949997,110.150002,104.309998,104.570000,104.570000,6807600
2017-08-11,105.080002,107.669998,104.339996,106.959999,106.959999,4386300
2017-08-14,109.449997,111.599998,109.419998,111.120003,111.120003,3946100
2017-08-15,111.739998,111.970001,110.410004,111.320000,111.320000,3012400
2017-08-16,112.099998,113.449997,110.790001,111.900002,111.900002,4127200
2017-08-17,110.540001,111.080002,105.000000,105.019997,105.019997,6607600
2017-08-18,105.180000,106.910004,103.500000,104.650002,104.650002,5410500
2017-08-21,104.830002,105.440002,102.400002,104.459999,104.459999,3603400
2017-08-22,106.000000,109.430000,105.949997,109.110001,109.110001,3927700
2017-08-23,107.320000,108.639999,107.180000,107.889999,107.889999,3503200
2017-08-24,108.680000,109.099998,105.099998,106.989998,106.989998,4049200
2017-08-25,108.080002,108.989998,105.870003,106.269997,106.269997,3859200
2017-08-28,107.199997,107.980003,106.209999,107.199997,107.199997,2760100
2017-08-29,104.410004,109.000000,104.160004,108.519997,108.519997,3546800
2017-08-30,108.709999,112.800003,108.519997,112.279999,112.279999,4427000
2017-08-31,113.190002,115.879997,113.010002,115.470001,115.470001,4424000
2017-09-01,116.349998,116.790001,114.500000,115.389999,115.389999,2958400
2017-09-05,114.290001,115.080002,109.669998,112.300003,112.300003,5384800
2017-09-06,113.209999,114.029999,110.849998,113.269997,113.269997,3543500
2017-09-07,113.930000,114.900002,112.805000,113.978996,113.978996,2863947
